publisher,title,categories,url
경향신문,전체뉴스,_all_,https://www.khan.co.kr/rss/rssdata/total_news.xml
경향신문,정치,정치,https://www.khan.co.kr/rss/rssdata/politic_news.xml
경향신문,경제,경제,https://www.khan.co.kr/rss/rssdata/economy_news.xml
경향신문,사회,사회,https://www.khan.co.kr/rss/rssdata/society_news.xml
경향신문,국제,국제,https://www.khan.co.kr/rss/rssdata/kh_world.xml
경향신문,스포츠,스포츠,http://www.khan.co.kr/rss/rssdata/kh_sports.xml
경향신문,문화,문화,https://www.khan.co.kr/rss/rssdata/culture_news.xml
경향신문,연예,연예,https://www.khan.co.kr/rss/rssdata/kh_entertainment.xml
경향신문,IT,IT,http://www.khan.co.kr/rss/rssdata/it_news.xml
경향신문,오피니언,사설,https://www.khan.co.kr/rss/rssdata/opinion_news.xml
경향신문,인물,인물,https://www.khan.co.kr/rss/rssdata/people_news.xml
경향신문,생활/레저,문화,https://www.khan.co.kr/rss/rssdata/skentertain_news.xml
국민일보,전체기사,_all_,http://rss.kmib.co.kr/data/kmibRssAll.xml
국민일보,정치,정치,http://rss.kmib.co.kr/data/kmibPolRss.xml
국민일보,경제,경제,http://rss.kmib.co.kr/data/kmibEcoRss.xml
국민일보,사회,사회,http://rss.kmib.co.kr/data/kmibSocRss.xml
국민일보,국제,국제,http://rss.kmib.co.kr/data/kmibIntRss.xml
국민일보,스포츠,스포츠,http://rss.kmib.co.kr/data/kmibSpoRss.xml
국민일보,문화,문화,http://rss.kmib.co.kr/data/kmibCulRss.xml
국민일보,생활,문화,http://rss.kmib.co.kr/data/kmibLifRss.xml
국민일보,사설/칼럼,사설,http://rss.kmib.co.kr/data/kmibColRss.xml
동아일보,전체기사,_all_,https://rss.donga.com/total.xml
동아일보,정치,정치,https://rss.donga.com/politics.xml
동아일보,사회,사회,https://rss.donga.com/national.xml
동아일보,경제,경제,https://rss.donga.com/economy.xml
동아일보,국제,국제,https://rss.donga.com/international.xml
동아일보,사설칼럼,사설,https://rss.donga.com/editorials.xml
동아일보,의학과학,의학|과학,https://rss.donga.com/science.xml
동아일보,문화연예,문화|연예,https://rss.donga.com/culture.xml
동아일보,스포츠,스포츠,https://rss.donga.com/sports.xml
동아일보,사람속으로,인물,https://rss.donga.com/inmul.xml
동아일보,건강,건강,https://rss.donga.com/health.xml
동아일보,레져,문화,https://rss.donga.com/leisure.xml
동아일보,도서,문화,https://rss.donga.com/book.xml
동아일보,공연,문화,https://rss.donga.com/show.xml
동아일보,여성,여성,https://rss.donga.com/woman.xml
동아일보,여행,문화,https://rss.donga.com/travel.xml
동아일보,생활정보,문화,https://rss.donga.com/lifeinfo.xml
미디어오늘,전체기사,_all_,https://www.mediatoday.co.kr/rss/allArticle.xml
미디어오늘,정치,정치,https://www.mediatoday.co.kr/rss/S1N2.xml
미디어오늘,경제,경제,https://www.mediatoday.co.kr/rss/S1N3.xml
미디어오늘,사회,사회,https://www.mediatoday.co.kr/rss/S1N4.xml
미디어오늘,문화,문화,https://www.mediatoday.co.kr/rss/S1N5.xml
미디어오늘,국제,국제,https://www.mediatoday.co.kr/rss/S1N6.xml
미디어오늘,IT,IT,https://www.mediatoday.co.kr/rss/S1N7.xml
미디어오늘,오피니언,사설,https://www.mediatoday.co.kr/rss/S1N8.xml
서울신문,전체,_all_,https://www.seoul.co.kr/xml/rss/rss_top.xml
서울신문,정치,정치,https://www.seoul.co.kr/xml/rss/rss_politics.xml
서울신문,사회,사회,https://www.seoul.co.kr/xml/rss/rss_society.xml
서울신문,경제,경제,https://www.seoul.co.kr/xml/rss/rss_economy.xml
서울신문,국제,국제,https://www.seoul.co.kr/xml/rss/rss_international.xml
서울신문,문화/건강,문화|건강,https://www.seoul.co.kr/xml/rss/rss_life.xml
서울신문,스포츠,스포츠,https://www.seoul.co.kr/xml/rss/rss_sports.xml
서울신문,연예,연예,https://www.seoul.co.kr/xml/rss/rss_entertainment.xml
세계일보,전체뉴스,_all_,http://www.segye.com/Articles/RSSList/segye_recent.xml
세계일보,정치,정치,http://www.segye.com/Articles/RSSList/segye_politic.xml
세계일보,경제,경제,http://www.segye.com/Articles/RSSList/segye_economy.xml
세계일보,사회,사회,http://www.segye.com/Articles/RSSList/segye_society.xml
세계일보,국제,국제,http://www.segye.com/Articles/RSSList/segye_international.xml
세계일보,문화,문화,http://www.segye.com/Articles/RSSList/segye_culture.xml
세계일보,오피니언,사설,http://www.segye.com/Articles/RSSList/segye_opinion.xml
세계일보,연예,연예,http://www.segye.com/Articles/RSSList/segye_entertainment.xml
세계일보,스포츠,스포츠,http://www.segye.com/Articles/RSSList/segye_sports.xml
